"Date","Close","Open","High","Low","Vol","Percentage Change"
"23/06/2008","368.95","367.08","369.69","367.00","10.36K","0.80%"
"20/06/2008","366.02","364.71","366.04","364.32","7.87K","-1.94%"
"19/06/2008","373.27","372.80","373.27","371.94","7.46K","-2.30%"
"18/06/2008","382.07","389.01","389.01","380.09","24.17K","-0.69%"
"17/06/2008","384.71","384.17","384.72","384.08","9.68K","1.72%"
"16/06/2008","378.20","376.23","378.68","376.23","17.34K","1.48%"
"13/06/2008","372.68","370.83","373.97","370.83","12.32K","0.57%"
"12/06/2008","370.55","368.17","370.55","368.10","7.68K","0.03%"
"11/06/2008","370.45","368.06","371.73","367.46","12.81K","-0.68%"
"10/06/2008","373.00","374.33","374.53","373.00","3.51K","-1.61%"
"09/06/2008","379.12","380.23","380.23","379.12","3.01K","-1.33%"
"06/06/2008","384.24","385.18","385.20","384.05","3.18K","-1.50%"
"05/06/2008","390.08","390.86","390.98","390.06","5.49K","-1.41%"
"04/06/2008","395.66","395.54","395.66","394.63","8.99K","-1.38%"
"03/06/2008","401.20","402.39","402.39","401.14","4.99K","-1.65%"
"02/06/2008","407.94","408.20","408.20","407.32","10.18K","-1.49%"
"30/05/2008","414.10","413.99","414.14","413.77","4.72K","-1.52%"
"26/05/2008","420.51","422.48","422.48","420.51","5.16K","-1.76%"
"23/05/2008","428.05","427.84","428.20","427.53","4.95K","-1.54%"
"22/05/2008","434.75","435.64","435.73","434.75","8.13K","-1.58%"
"21/05/2008","441.75","442.47","442.47","441.53","5.22K","-1.67%"
"20/05/2008","449.24","450.03","450.38","448.94","6.33K","-1.41%"
"19/05/2008","455.67","453.93","455.67","453.45","6.61K","-0.95%"
"16/05/2008","460.04","459.62","461.96","459.37","9.14K","-1.42%"
"15/05/2008","466.67","468.56","468.56","466.67","2.66K","-1.86%"
"14/05/2008","475.50","477.29","477.29","475.50","1.93K","-1.74%"
"13/05/2008","483.92","484.77","484.77","483.92","1.34K","-1.65%"
"12/05/2008","492.04","492.95","493.27","492.04","2.76K","-1.66%"
"09/05/2008","500.33","499.59","500.33","499.42","3.51K","-1.50%"
"08/05/2008","507.94","507.31","507.94","506.43","5.43K","-1.42%"
"07/05/2008","515.26","514.66","515.26","510.94","6.75K","-0.60%"
"06/05/2008","518.35","518.21","518.35","516.21","7.40K","-0.56%"
"05/05/2008","521.28","523.29","523.75","521.28","6.24K","-0.21%"
"29/04/2008","522.36","523.86","524.07","520.41","10.16K","0.57%"
"28/04/2008","519.42","514.79","519.62","514.44","9.77K","0.69%"
"25/04/2008","515.88","514.37","515.88","513.93","7.33K","-0.49%"
"24/04/2008","518.42","515.14","518.42","515.02","7.52K","-0.68%"
"23/04/2008","521.95","523.60","523.60","521.82","7.46K","-1.63%"
"22/04/2008","530.62","530.26","530.62","528.60","5.34K","-0.80%"
"21/04/2008","534.92","534.62","534.92","532.52","7.72K","-0.44%"
"18/04/2008","537.31","540.08","540.08","534.51","10.84K","-0.05%"
"17/04/2008","537.58","523.52","537.58","523.45","14.09K","1.17%"
"16/04/2008","531.38","530.90","531.73","530.04","6.43K","-1.42%"
"11/04/2008","539.01","537.71","539.01","536.97","9.26K","-1.23%"
"10/04/2008","545.73","549.17","549.17","543.88","10.10K","-1.14%"
"09/04/2008","552.05","552.42","552.42","550.03","11.03K","0.64%"
"08/04/2008","548.56","550.68","550.68","544.29","26.85K","1.15%"
"07/04/2008","542.33","541.42","542.33","541.37","7.55K","1.75%"
"04/04/2008","533.00","531.56","533.00","531.56","1.58K","0.71%"
"03/04/2008","529.23","528.46","529.23","528.46","9.64K","0.78%"
"02/04/2008","525.11","524.38","525.11","524.38","3.14K","0.79%"
"01/04/2008","520.99","520.53","520.99","520.53","2.90K","0.80%"
"31/03/2008","516.85","516.59","516.85","516.58","4.84K","0.81%"
"28/03/2008","512.70","512.19","512.74","512.19","3.70K","0.78%"
"27/03/2008","508.75","507.79","508.79","507.79","7.42K","0.81%"
"26/03/2008","504.67","495.02","504.78","494.40","20.17K","1.62%"
"25/03/2008","496.64","497.25","497.39","496.64","9.44K","-4.69%"
"24/03/2008","521.07","524.72","525.24","521.07","10.08K","-4.51%"
"21/03/2008","545.68","553.05","553.69","545.68","14.59K","-3.39%"
"20/03/2008","564.82","568.32","576.41","564.82","15.18K","-1.50%"
"19/03/2008","573.45","584.53","592.18","573.45","27.94K","-2.52%"
"18/03/2008","588.26","588.63","589.57","588.17","9.69K","-4.46%"
"17/03/2008","615.71","623.23","624.31","615.71","17.88K","-4.36%"
"14/03/2008","643.80","640.04","643.92","640.04","12.42K","-0.59%"
"13/03/2008","647.60","655.18","655.18","644.66","15.01K","0.57%"
"12/03/2008","643.90","632.08","654.47","632.08","16.31K","0.81%"
"11/03/2008","638.71","642.87","643.68","638.71","19.40K","-2.97%"
"10/03/2008","658.29","667.63","669.24","657.53","27.31K","2.84%"
"07/03/2008","640.14","638.23","640.14","638.03","10.08K","4.74%"
"06/03/2008","611.17","609.77","611.26","609.77","28.05K","4.75%"
"05/03/2008","583.45","581.19","583.45","580.40","12.21K","-4.18%"
"04/03/2008","608.88","608.05","608.88","606.10","21.83K","-4.15%"
"03/03/2008","635.24","646.08","646.31","634.22","12.25K","-4.23%"
"29/02/2008","663.30","670.49","672.15","661.75","12.89K","-2.19%"
"28/02/2008","678.12","687.75","688.70","677.80","10.96K","-1.22%"
"27/02/2008","686.49","681.45","704.67","681.35","11.10K","-0.93%"
"26/02/2008","692.91","714.86","714.86","692.83","13.42K","-3.09%"
"25/02/2008","715.04","706.00","715.25","706.00","23.91K","4.07%"
"22/02/2008","687.10","678.32","687.10","677.79","16.38K","-3.29%"
"21/02/2008","710.45","711.78","712.27","710.17","20.13K","-4.63%"
"20/02/2008","744.92","775.30","775.93","744.92","12.81K","-4.10%"
"19/02/2008","776.79","764.42","780.91","764.17","14.49K","-0.74%"
"18/02/2008","782.57","784.80","786.45","780.78","14.53K","-4.10%"
"15/02/2008","816.03","821.00","821.03","813.89","5.84K","-0.90%"
"14/02/2008","823.46","824.34","832.66","823.46","9.04K","0.68%"
"13/02/2008","817.86","830.54","830.77","817.86","8.11K","-2.78%"
"12/02/2008","841.23","857.02","857.02","840.50","6.56K","-2.14%"
"01/02/2008","859.62","854.15","859.62","852.32","15.36K","1.84%"
"31/01/2008","844.11","831.74","844.11","826.03","17.33K","0.12%"
"30/01/2008","843.10","844.95","848.88","843.10","13.93K","3.88%"
"29/01/2008","811.61","787.30","811.61","786.42","9.96K","3.38%"
"28/01/2008","785.07","781.92","785.07","775.90","7.59K","1.16%"
"25/01/2008","776.04","763.66","778.82","762.99","7.89K","1.56%"
"24/01/2008","764.13","785.92","790.52","764.13","12.85K","-1.62%"
"23/01/2008","776.68","785.77","787.12","775.30","11.31K","-3.85%"
"22/01/2008","807.74","808.46","813.01","807.74","12.75K","-3.13%"
"21/01/2008","833.88","839.31","839.37","833.88","9.73K","-1.55%"
"18/01/2008","847.05","831.08","847.05","828.22","7.37K","1.59%"
"17/01/2008","833.81","861.78","861.78","830.74","11.57K","-1.45%"
"16/01/2008","846.07","836.43","846.07","835.20","14.17K","4.60%"
"15/01/2008","808.83","819.04","820.20","807.72","10.68K","-3.83%"
"14/01/2008","841.00","859.29","859.29","841.00","10.68K","-2.30%"
"11/01/2008","860.77","860.52","867.50","860.13","7.57K","1.26%"
"10/01/2008","850.07","858.07","858.56","849.69","12.59K","-3.23%"
"09/01/2008","878.41","888.69","889.12","878.41","8.31K","-1.72%"
"08/01/2008","893.74","892.68","899.22","892.68","9.69K","0.75%"
